Id,Name,Affiliation
728,S. Tyler Staelin,Department of Surgery|University of Wisconsin
731,P C Mishra,KIIT University Kalinga Institute of Industrial Technology
743,L. E. Aranchuk,
745,Alexander V. Soldatov,Harvard University
767,Steven L. Salzberg,
771,P. K. Joshi,Space Applications Centre
782,A. Y.-J. Park,Department of Physics and Basic Research Institute|Sogang University
795,Anthony J. Saliba,
800,Soren Birk Rasmussen,Consejo Superior de Investigaciones Científicas
801,T. J. Howkins,
805,Atanasios Mitropoulos,
811,Lutz Schlesinger,
814,Jeffrey F. Naughton,Polymer Science Centre|University of Reading
817,Teoretisk Astrofysik Center,Budker Institute of Nuclear Physics
826,Emanuele Buratti,
828,Pascal Filoche,"Orange Labs (France Telecom,R&D)"
870,John Thorstensen,
874,Esselina Macome,
1782,Nuno Fonseca,Unit of Marine Engineering and Technology|Technical University of Lisbon
888,Services More Responsive,"Carole Rakodi , International Development Department , School of Public Policy,; University of Birmingham , October , 2002"
896,B. A. Orner,Department of Electrical Engineering|University of Delaware
906,J. P. Olivier de Sardan,
908,M. Wojtowicz,Northrop Grumman Space Technology
915,Hilary J. Holz,
928,H. C. Minnett,
933,Winoah A Henry,The Johns Hopkins University
941,Hui Xu,
950,Jee-Hyang Jeong,
971,Eric Hammer,"Center for the Study of Language and Information, Stanford University"
973,D. Budge,
976,Frank Alber,
979,David Petros,"Department of Horticulture and Landscape Architecture, Purdue University, West Lafayette, IN 47907-1165, USA"
1008,Massimiliano Polichetti,Dipartimento di Fisica|Università di Salerno
1013,M. Cabrera Garcia,
1022,Rg Networking,"School of Computing University of Glamorgan, Pontypridd (Cardi ) CF-37 1DL, Wales, UK"
1030,Anirvan Sengupta,Bell Labs|Lucent Technologies
1042,W. B. Fowler,Fermi National Accelerator Laboratory
1050,Creating A Virtual Network,
1051,Oukseh Lee,Seoul National University
1076,Janet Rosenbaum,
1090,Harald Geist,
1099,Christopher J. Hogger,Department of Computing|Imperial College London
1106,W. Harkam,"Institute of Biomedical Engineering, Department of Medical InformaticsUniversity of Technology Graz"
1118,Alessandro Mosca,Free University of Bozen Bolzano
1120,Elizabeth A. Warren,Australian Catholic University
1121,Steven S. Vogt,"UCO / Lick Observatory|University of California , Santa Cruz"
1139,Jader A. De Lima,
1140,Michael Weisbach,
1142,R. Pokorny,
1145,R. J. M. van Hoesel,
1165,G. E. Mcclellan,
1166,J. Casey,Ministry of Agriculture|Fisheries and Food|Directorate of Fisheries Research Fisheries Laboratory
1182,Musical Information Retrieval,
1186,Ahmet E. Topcu,
1204,Pierre Brissonneau,
1209,H. L. Premaratne,
1214,Alexander Grothendieck,
1246,Daniel C. Dennett,Tufts University
1247,Norm C. Strole,
1249,Per Ola B Orjesson,
1253,Paul M. Mullins,
1257,Joffre Swait,
1269,Lina L. E. Massone,
1273,Johan Van Rensbergen,Vito - Centre of Remote Sensing and Atmospheric Processes Boeretang
1290,Mukhtiar A. Shaikh,
1300,A. W. Kushnniruk,
1302,Deborah Hix,Virginia Polytechnic Institute and State University
1308,Patrick S. Huggins,
1312,Sing Bing Kang,Microsoft Research
1317,P. Fessenden,Chairman at the formation of the Task Group and during the prepara-
1324,Paul Willmann,
1326,A. H. Schainblatt,
1327,C. G Felix,Department of Computer Science|University of Technology
1328,Marc Najork,"Microsoft Research, 1065 La Avenida, Mountain View, CA"
1330,F. J. Aragon Artacho,University of Nebraska Lincoln
1339,Alberto TESEI,
1347,K. Deaux,
1350,C. Hummel,Department of Neurology|University of Erlangen-Nürnberg
1357,H. Ishihara,"of Tokyo Dental College, 45(1): 47-57"
1358,E. Kaji,
1374,Stephan Wong Jack,
1377,Martin Visbeck,National Center for Atmospheric Research
1381,K. Ilely,
1387,Joshua Bergman,Lund University
1412,K. Akhtar,University of Wisconsin|Ecole Polytechnique FØdØrale de Lausanne|Australian National University
1415,P. D. H. Hill,
1416,Christopher C. Jones,
1417,B Moores,
1419,Chih-lung Lin,National Chung Hsing University
1437,M. Mcbeath,
1460,Michael Debellis,
1465,Mehmet Turan Soylemez,Istanbul Technical University|Electrical Engineering Department
1474,E. Singh,Dupont Chemical Solutions Enterprise
1476,Sweder van Wijnbergen,University of Amsterdam
1503,F. Ochmann,
1506,To Solve Challenging,
1508,Jonathan J. Oliver,
1522,Emanuel Ciprian Sasu,
1527,Chien-Chung Chang,Computer Science & Information Engineering|National Taiwan University|Science and Technology
1528,Jiye Ximen,
1537,L Muntz,
1539,Tryphon T. Georgiou,
1567,S.-I. Akimoto,Department of Molecular Chemistry|Graduate School of Engineering|Hokkaido University
