Id,Title,Year,ConferenceId,JournalId,Keyword
62,364: Induction of Mixed Chimerism and Transplantation Tolerance in a Non-Human Primate Lung Allograft Model: Early Results,2008,0,3600,
63,Eectively Checking or Disproving the Finite Variant Property ?,0,0,0,
64,Coupling timing objectives with optical proximity correction for improved timing yield,2011,97,0,Delay; Transistors; Logic gates; Cost function; Sensitivity; Lithography; ; 
65,,2002,0,15256,
66,ET AL.: Scientific Method and Social Change,1960,0,9492,
67,Inversion of guided-wave dispersion data with application to borehole acoustics,2004,0,8447,
68,Incidental Positive Internal Mammary Lymph Nodes: A Multiple International Institutional Investigation,2008,0,3717,
69,Tradeoffs in Buffering Memory State for Thread-Level Speculation in Multiprocessors,2003,1055,0,
70,An Algebraic Foundation for Graph-based Diagrams in Computing,2001,0,355,
71,Familial simple hypohidrosis with abnormal palmar dermal ridges,1988,0,7557,
72,Ergodic and arithmetical properties of geometrical progression's dynamics and of its orbits,0,0,0,
73,Distributed coordination algorithms for multiple fractional-order systems,2008,2819,0,
74,A Lei de Beer Aplicada na Atmosfera Terrestre,2001,0,8609,
75,Neutrophils secrete MIP-1beta after adhesion to laminin contained in basement membrane of blood vessels,2004,0,2756,"Keywords: neutrophil, macrophage inflammatory protein-1b, chemotaxis, dendritic cell, laminin."
76,Accelerating popular tomographic reconstruction algorithms on commodity PC graphics hardware,2005,0,8423,Graphics hardware; image reconstruction; tomography
77,Direct Laser Beam Writing on YBaCuO Film for Superconducting Microelectronic Devices,1988,0,17706,
78,"Social Preferences, Beliefs, and the Dynamics of Free Riding in Public Good Experiments",2008,0,0,"public goods experiments, social preferences, conditional cooperation, free riding"
79,Conversational Pointing Gestures for Virtual Reality Interaction: Implications from an Empirical Study,2008,2992,0,
80,Equation Solving in Geometrical Theories,1994,609,0,
81,Determination of Planetary Meteorology from Aerobot Flight Sensors,0,0,0,
82,Efficient q-Gram Filters for Finding All -Matches over a Given Length,2006,0,390,
83,X-rays from the Power Sources of the Cepheus A Star-Forming Region,2009,0,11654,"infrared: stars, stars: formation, stars: pre-main sequence, X-rays: stars"
84,Physical Activity and Functional Capacity Measurement in Women: A Report from the NHLBI-Sponsored WISE Study,2000,0,3771,
85,Open Sourcing Social Solutions (Building Communities of Change),2007,0,17938,
