PaperId,AuthorId,Name,Affiliation
25,133335,Beth Ann Hockey,
25,221879,Genevieve Gorrell,
25,1599230,Manny Rayner,
25,1865153,Johan Boye,
26,794680,M. Cador,
26,1586013,J. R. Taylor,
26,1828620,T. W. Robbins,
27,334529,Vincent Hugel,
27,1334729,Patrick Bonnin,
27,1705572,Pierre Blazevic,
28,1647360,Malgorzata Kalinowska-iszkowska,
29,968063,S M Garland,
29,1156243,L W Doyle,
29,1240002,U K Mishra,"Newborn Services, Royal Women’s Hospital, Melbourne, Victoria, Australia"
29,1462727,S E Jacobs,"Newborn Services, Royal Women’s Hospital, Melbourne, Victoria, Australia"
30,569584,H. Schneider,
30,795412,U. Saint-Paul,"Leibniz Center for Tropical Marine Ecology, Fahrenheitstr. 6, 28359 Bremen, Germany"
31,158775,David G. Robinson,
31,178756,Susanne E. H. Holstein,
31,230221,Stefan Hillmer,
31,230221,Stefan Hillmer,Heidelberg University
31,550378,Bettina Kobert,
31,569906,T.-H. David Ho,
31,818400,Peter H. Brown,
32,509494,Andreas Drexl,
33,606803,Onno J. Boxma,
34,643499,Alexander Hall,
34,952569,Evdokia Nikolova,
34,1642215,Christos Papadimitriou,
35,1033602,Curt Covey,
35,1993491,Gerald Schubert,
36,262009,Leann Myers,
36,423959,Mark A Murchison,"Department of Veterinary Medicine, Tulane National Primate Research Center, 18703 Three Rivers Road, Covington, LA 70433, USA"
36,706809,Michael P Muehlenbein,"Reproductive Ecology Laboratory, Department of Anthropology, Yale University, 51 Hillhouse Avenue, New Haven, CT 06520-8277, USA"
36,1060105,Benjamin C Campbell,"Department of Anthropology, Boston University, 232 Bay State Road, Boston, MA 02215, USA"
36,1406724,Kathrine M Phillippi-Falkenstein,"Department of Veterinary Medicine, Tulane National Primate Research Center, 18703 Three Rivers Road, Covington, LA 70433, USA"
36,1450492,Robert J Richards,
36,1907332,Frank Svec,
37,65747,S. R. CHOI,
37,689094,Y. H. LIM,
37,1071333,S. C. LEE,
37,1303266,Jeong Min Lee,Seoul National University
37,2010697,J. H. LEE,
37,2112282,C. J. CHUNG,
38,1352552,R. J. Baer,
38,1482259,V. V. Mistry,
38,1780084,S. J. Foster,
39,292338,Mary E. Wines,
39,308714,Lance Lee,
39,424480,Ying Shi,
39,886735,Bernadette C. Holdener,
39,1021822,Liqun Zhang,
39,1301373,Signa Perkins,
39,1379510,Charles DeRossi,
39,1587517,W. Richard McCombie,
39,2180097,Michael Feldman,
39,2266956,Manpreet S. Katari,
40,1338078,Matthew Reid,Department of Electrical and Computer Engineering|University of Alberta
40,2119692,R. Fedosejevs,Department of Electrical and Computer Engineering|University of Alberta
41,9126,Jei Keon Chae,"Chonbuk National University Hospital, Jeonju, Korea"
41,186515,Jae-Hwan Lee,"Cardiology Division of Internal Medicine, Chungnam National University Hospital, Chungnam National University, Deajeon, Korea"
41,198507,Si Wan Choi,"Cardiology Division of Internal Medicine, Chungnam National University Hospital, Chungnam National University, Deajeon, Korea"
41,357215,Nae-Hee Lee,"Soonchunhyang University Bucheon Hospital, Bucheon, Korea"
41,377169,Cheol Whan Lee,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea"
41,387948,Jae-Ki Ko,"Chonbuk National University Hospital, Jeonju, Korea"
41,453937,In-Whan Seong,"Cardiology Division of Internal Medicine, Chungnam National University Hospital, Chungnam National University, Deajeon, Korea"
41,685423,Jae Hwan Lee,Soongsil University
41,732712,Seung-Whan Lee,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea"
41,908355,Myeong-Ki Hong,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea"
41,932547,Young-Hak Kim,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea"
41,1000036,June Hong Kim,"Busan National University Hospital, Busan, Korea"
41,1293767,Jin-Ok Jeong,"Cardiology Division of Internal Medicine, Chungnam National University Hospital, Chungnam National University, Deajeon, Korea"
41,1360957,Seong-Wook Park,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea"
41,1361335,Kyoung-Suk Rhee,"Chonbuk National University Hospital, Jeonju, Korea"
41,1455262,Yoon Haeng Cho,"Soonchunhyang University Bucheon Hospital, Bucheon, Korea"
41,1554001,Sung-Cheol Yun,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea"
41,1716913,Seung-Jung Park,"Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea"
41,1772119,Kook-Jin Chun,"Busan National University Hospital, Busan, Korea"
41,1791364,Hyun-Sook Kim,"Hallym University Sacred Heart Hospital, Anyang, Korea."
41,1998368,Jae-Hyeong Park,"Cardiology Division of Internal Medicine, Chungnam National University Hospital, Chungnam National University, Deajeon, Korea"
